sample,paciente 137,paciente 139,paciente 140,paciente 190,paciente 252,paciente 407,paciente 411,paciente 422,paciente 142 ,paciente 162,paciente 173,paciente 187,paciente 210,paciente 258,paciente 260,paciente 297,paciente 414,paciente 457
hsa-let-7a-2-3p95,2,3,1,1,0,11,1,0,2,12,1,1,1,0,0,0,1,0
hsa-let-7a-3p81,236,220,197,79,14,313,239,256,120,845,8,78,104,1,3,93,86,38
hsa-let-7a-5p62,73125,98298,76178,17455,64459,272773,120507,104874,45759,573304,260,713,40190,147,105,43524,47432,857
hsa-let-7b-3p82,372,154,237,60,81,2708,894,407,211,2252,19,104,105,0,2,185,619,27
hsa-let-7b-5p63,8079,7220,6581,6253,4153,74385,13303,8931,6500,84851,191,1029,7047,77,45,7335,7538,620
hsa-let-7c-3p72,13,11,8,0,4,78,13,13,4,129,0,4,12,0,0,8,7,2
hsa-let-7c-5p64,9662,10309,6310,5016,15753,52715,12565,10659,6991,67497,57,347,7439,60,38,6728,6664,747
hsa-let-7d-3p84,91,56,86,36,83,1154,539,129,58,1440,15,150,30,1,0,69,120,35
hsa-let-7d-5p65,1136,1355,1741,433,777,9824,2466,1745,793,19800,14,86,717,5,3,865,838,43
hsa-let-7e-3p85,17,15,18,3,6,179,55,42,12,97,2,4,12,0,0,15,32,2
hsa-let-7e-5p66,2759,2211,1558,490,3109,11326,1903,1675,1383,12836,34,189,1117,6,6,1347,1312,78
hsa-let-7f-1-3p86,20,10,22,6,1,78,35,24,17,159,3,31,17,0,0,16,19,6
hsa-let-7f-2-3p87,28,57,76,22,0,100,40,33,41,255,4,32,51,0,0,28,13,19
hsa-let-7f-5p67,75506,136438,105091,8307,10408,41418,108434,126655,50936,363787,1242,14982,53571,110,257,42098,18096,3121
hsa-let-7g-3p84,20,14,42,13,0,59,35,17,54,89,10,67,53,0,0,25,2,11
hsa-let-7g-5p14,16958,30709,25923,2683,2267,23151,27912,27017,11095,112982,230,2260,10518,20,57,11270,5128,645
hsa-let-7i-3p85,24,31,70,42,3,460,114,45,77,800,3,61,57,2,0,54,16,18
hsa-let-7i-5p15,61254,92688,68042,6825,7742,18779,124184,112959,53825,104139,8699,34954,50416,495,1188,57470,27437,5627
hsa-miR-1-3p16,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
hsa-miR-1-5p92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-100-3p12,19,39,10,8,0,17,26,62,30,85,8,72,24,0,1,37,5,3
hsa-miR-100-5p98,7831,8140,5942,2835,1493,50264,15515,20681,14336,62769,302,3111,11520,91,76,12770,15963,1004
hsa-miR-101-2-5p12,0,0,0,0,0,1,0,0,0,4,0,1,1,0,0,0,0,0
hsa-miR-101-3p99,23035,40450,30945,13762,646,17876,37207,40363,21481,133657,5339,45104,19697,259,452,35765,2032,5798
hsa-miR-101-5p13,11,23,20,12,0,38,17,16,19,167,3,14,27,0,0,21,0,15
hsa-miR-1022628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10392-3p16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10392-5p15,0,2,2,0,0,1,4,0,1,0,0,0,0,0,0,1,0,2
hsa-miR-10393-3p18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
hsa-miR-10393-5p17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-10394-3p20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
hsa-miR-10394-5p19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hsa-miR-10395-3p22,31,17,45,6,2,133,55,15,40,189,1,14,9,0,0,59,29,142
hsa-miR-10395-5p21,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0
hsa-miR-10396a-3p24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
hsa-miR-10396a-5p23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-10396b-3p36,4,1,2,0,0,0,0,0,0,0,0,0,0,0,1,11,0,4
hsa-miR-10396b-5p35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-10397-3p26,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-10397-5p25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10398-3p28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10398-5p27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10399-3p30,48,39,49,5,1,24,131,73,71,99,4,11,60,0,1,128,26,3
hsa-miR-10399-5p29,7,4,6,2,1,7,13,12,6,88,2,11,8,0,0,6,3,1
hsa-miR-103a-1-5p06,0,0,1,0,0,3,0,0,0,6,0,1,0,0,0,1,0,0
hsa-miR-103a-2-5p96,0,2,4,2,0,19,3,1,4,34,3,14,2,0,0,5,0,2
hsa-miR-103a-3p01,52316,38806,69143,3101,2402,40036,176353,89616,36673,152699,1381,14256,26443,189,153,61096,25839,2356
