"miRNA","rf_topk_freq"
"`hsa-miR-15a-5p68`",0.27
"`hsa-miR-4662a-5p31`",0.26
"`hsa-miR-769-5p86`",0.25
"`hsa-miR-548al24`",0.23
"`hsa-miR-6507-5p70`",0.23
"`hsa-miR-194-3p71`",0.2
"`hsa-miR-483-5p61`",0.2
"`hsa-miR-585-5p18`",0.2
"`hsa-miR-2681-5p15`",0.19
"`hsa-miR-486-3p62`",0.19
"`hsa-let-7d-5p65`",0.18
"`hsa-miR-16-5p69`",0.18
"`hsa-miR-675-5p84`",0.18
"`hsa-miR-144-5p00`",0.17
"`hsa-miR-26b-5p83`",0.17
"`hsa-miR-34b-5p85`",0.17
"`hsa-miR-3677-3p01`",0.17
"`hsa-miR-3934-5p49`",0.17
"`hsa-miR-570802`",0.17
"`hsa-miR-373-3p26`",0.16
"`hsa-miR-446996`",0.16
"`hsa-miR-98-5p96`",0.16
"`hsa-let-7a-5p62`",0.15
"`hsa-miR-2467-5p52`",0.14
"`hsa-miR-363-3p07`",0.14
"`hsa-miR-7-2-3p54`",0.14
"`hsa-miR-797679`",0.14
"`hsa-let-7e-3p85`",0.13
"`hsa-miR-196b-5p80`",0.13
"`hsa-miR-3614-5p92`",0.13
"`hsa-miR-432-3p15`",0.13
"`hsa-miR-124394`",0.12
"`hsa-miR-151a-5p97`",0.12
"`hsa-miR-301b-3p58`",0.12
"`hsa-miR-30c-2-3p50`",0.12
"`hsa-miR-30d-5p45`",0.12
"`hsa-miR-548ba75`",0.12
"`hsa-miR-96-5p95`",0.12
"`hsa-miR-20a-5p75`",0.11
"`hsa-miR-3074-5p08`",0.11
"`hsa-miR-316337`",0.11
"`hsa-miR-490-3p06`",0.11
"`hsa-let-7g-5p14`",0.1
"`hsa-miR-127-5p04`",0.1
"`hsa-miR-1306-3p50`",0.1
"`hsa-miR-181a-2-3p58`",0.1
"`hsa-miR-4529-3p68`",0.1
"`hsa-miR-501-5p72`",0.1
"`hsa-miR-516a-5p70`",0.1
"`hsa-miR-548aj-5p39`",0.1
"`hsa-miR-548o-3p19`",0.1
"`hsa-miR-6724-5p56`",0.1
"`hsa-miR-874-3p11`",0.1
"`hsa-let-7e-5p66`",0.09
"`hsa-let-7f-5p67`",0.09
"`hsa-miR-10b-5p54`",0.09
"`hsa-miR-127-3p46`",0.09
"`hsa-miR-17-5p70`",0.09
"`hsa-miR-28-5p85`",0.09
"`hsa-miR-3158-3p32`",0.09
"`hsa-miR-317653`",0.09
"`hsa-miR-365a-5p99`",0.09
"`hsa-miR-381-3p36`",0.09
"`hsa-miR-382-5p37`",0.09
"`hsa-miR-410-3p71`",0.09
"`hsa-miR-4645-3p06`",0.09
"`hsa-miR-548x-5p33`",0.09
"`hsa-let-7b-3p82`",0.08
"`hsa-miR-125a-3p02`",0.08
"`hsa-miR-125b-2-3p03`",0.08
"`hsa-miR-147b-3p28`",0.08
"`hsa-miR-183-3p60`",0.08
"`hsa-miR-190a-5p58`",0.08
"`hsa-miR-203a-3p64`",0.08
"`hsa-miR-211033`",0.08
"`hsa-miR-331-5p00`",0.08
"`hsa-miR-369019`",0.08
"`hsa-miR-378a-3p32`",0.08
"`hsa-miR-42139`",0.08
"`hsa-miR-4746-5p80`",0.08
"`hsa-miR-495-3p17`",0.08
"`hsa-miR-576-5p41`",0.08
"`hsa-miR-628-3p97`",0.08
"`hsa-miR-642a-5p12`",0.08
"`hsa-miR-6513-3p83`",0.08
"`hsa-miR-6859-5p18`",0.08
"`hsa-miR-7-1-3p53`",0.08
"`hsa-miR-708-3p27`",0.08
"`hsa-miR-146b-5p09`",0.07
"`hsa-miR-148a-3p43`",0.07
"`hsa-miR-148b-3p59`",0.07
"`hsa-miR-150-3p10`",0.07
"`hsa-miR-182-5p59`",0.07
"`hsa-miR-21-3p94`",0.07
"`hsa-miR-27a-3p84`",0.07
"`hsa-miR-296-3p79`",0.07
"`hsa-miR-3620-3p01`",0.07
"`hsa-miR-365b-3p34`",0.07
"`hsa-miR-377-3p30`",0.07
"`hsa-miR-396037`",0.07
"`hsa-miR-411-5p29`",0.07
"`hsa-miR-451a31`",0.07
"`hsa-miR-539-3p05`",0.07
"`hsa-miR-542-3p89`",0.07
"`hsa-miR-574-3p39`",0.07
"`hsa-miR-6511a-5p78`",0.07
"`hsa-miR-92a-1-5p07`",0.07
"`hsa-miR-92a-3p92`",0.07
"`hsa-miR-1140158`",0.06
"`hsa-miR-1247-3p21`",0.06
"`hsa-miR-1285-3p76`",0.06
"`hsa-miR-129484`",0.06
"`hsa-miR-155-5p46`",0.06
"`hsa-miR-15b-5p17`",0.06
"`hsa-miR-190b-5p29`",0.06
"`hsa-miR-193a-3p59`",0.06
"`hsa-miR-22-5p95`",0.06
"`hsa-miR-224-5p81`",0.06
"`hsa-miR-25-3p81`",0.06
"`hsa-miR-29a-3p86`",0.06
"`hsa-miR-29a-5p03`",0.06
"`hsa-miR-3129-3p02`",0.06
"`hsa-miR-340-3p50`",0.06
"`hsa-miR-374b-3p56`",0.06
