"Resistente","Sensible","miRNA","Overall"
3.0852676453128,3.0852676453128,"`hsa-miR-769-5p86`",3.0852676453128
2.66615915247607,2.66615915247607,"`hsa-miR-194-3p71`",2.66615915247607
2.36873239592647,2.36873239592647,"`hsa-miR-585-5p18`",2.36873239592647
2.14995733822447,2.14995733822447,"`hsa-miR-15a-5p68`",2.14995733822447
1.99939460378974,1.99939460378974,"`hsa-miR-4662a-5p31`",1.99939460378974
1.90247951660462,1.90247951660462,"`hsa-miR-483-5p61`",1.90247951660462
1.74447458396164,1.74447458396164,"`hsa-miR-3677-3p01`",1.74447458396164
1.69876576218539,1.69876576218539,"`hsa-miR-1228-5p82`",1.69876576218539
1.62331957352047,1.62331957352047,"`hsa-miR-446996`",1.62331957352047
1.59383717707543,1.59383717707543,"`hsa-miR-6513-3p83`",1.59383717707543
1.56287798143173,1.56287798143173,"`hsa-miR-874-3p11`",1.56287798143173
1.53831720798703,1.53831720798703,"`hsa-miR-6507-5p70`",1.53831720798703
1.5133951713008,1.5133951713008,"`hsa-miR-4529-3p68`",1.5133951713008
1.5133951713008,1.5133951713008,"`hsa-miR-477531`",1.5133951713008
1.48988774721695,1.48988774721695,"`hsa-miR-382-5p37`",1.48988774721695
1.3994929698777,1.3994929698777,"`hsa-miR-363-3p07`",1.3994929698777
1.37340718685841,1.37340718685841,"`hsa-miR-6734-5p69`",1.37340718685841
1.36674365792728,1.36674365792728,"`hsa-miR-3158-3p32`",1.36674365792728
1.32378057958803,1.32378057958803,"`hsa-miR-409-3p39`",1.32378057958803
1.31754202552918,1.31754202552918,"`hsa-miR-624-5p93`",1.31754202552918
